FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_DELAY,DEP_DELAY
2009-01-23,XE,2072,RIC,IAH,-25.0,-9.0
2009-02-24,XE,2497,IAH,ICT,-11.0,-9.0
2009-03-14,WN,3031,HOU,MCO,-16.0,-9.0
2009-11-12,FL,150,PWM,BWI,-7.0,-9.0
2009-09-16,XE,2128,ORD,CLE,-21.0,-9.0
2009-09-22,XE,2186,MKE,CLE,-7.0,-9.0
2009-07-08,YV,7260,IAD,PIT,-17.0,-9.0
2009-09-23,US,936,SAN,PHX,0.0,-9.0
2009-11-11,US,2118,LGA,BOS,-12.0,-9.0
2009-09-04,US,1648,JAX,PHL,-15.0,-9.0
2009-04-15,EV,5403,ATL,PIA,-1.0,-9.0
2009-07-24,B6,601,PWM,JFK,-7.0,-9.0
2009-12-12,AA,789,STL,ORD,-21.0,-9.0
2009-06-12,MQ,3716,LFT,DFW,-11.0,-9.0
2009-01-29,OO,5430,IYK,LAX,-20.0,-9.0
2009-09-20,US,2137,BOS,LGA,-23.0,-9.0
2009-11-03,EV,5402,GSO,ATL,-22.0,-9.0
2009-09-08,B6,494,DEN,BOS,-7.0,-9.0
2009-01-29,AS,4,SEA,DCA,2.0,-9.0
2009-08-26,OO,6299,OXR,LAX,-12.0,-9.0
2009-12-12,UA,650,PHX,ORD,-33.0,-9.0
2009-09-08,CO,1197,BOS,EWR,-3.0,-9.0
2009-09-21,9E,3821,TVC,MSP,-25.0,-9.0
2009-08-26,AS,862,OGG,PDX,-23.0,-9.0
2009-04-27,B6,231,SLC,LGB,-6.0,-9.0
2009-11-02,AS,664,SEA,DFW,-26.0,-9.0
2009-09-13,NW,1220,DEN,DTW,-10.0,-9.0
2009-09-02,B6,707,JFK,SJU,-10.0,-9.0
2009-09-12,YV,2886,PHX,ICT,-7.0,-9.0
2009-11-16,US,1867,CLT,RSW,-16.0,-9.0
2009-08-26,US,29,PHL,ORD,-14.0,-9.0
2009-04-17,HA,206,HNL,OGG,-16.0,-9.0
2009-03-09,B6,80,JFK,SYR,-22.0,-9.0
2009-09-18,YV,1127,OGG,HNL,-4.0,-9.0
2009-09-21,XE,2333,DCA,CLE,-9.0,-9.0
2009-09-26,NW,1185,PVD,DTW,-10.0,-9.0
2009-11-17,F9,550,SAN,DEN,-6.0,-9.0
2009-08-23,B6,669,PWM,JFK,-19.0,-9.0
2009-01-27,US,1124,CLT,BUF,-12.0,-9.0
2009-05-20,9E,2976,DTW,FSD,-32.0,-9.0
2009-02-23,US,1731,PHL,ORD,-15.0,-9.0
2009-09-05,MQ,3402,BRO,DFW,-17.0,-9.0
2009-02-02,OO,5465,SMX,LAX,-5.0,-9.0
2009-04-06,UA,377,MCI,DEN,-12.0,-9.0
2009-11-17,EV,5415,STL,ATL,-16.0,-9.0
2009-07-20,MQ,4740,DCA,JFK,-19.0,-9.0
2009-08-11,MQ,4022,ICT,ORD,-15.0,-9.0
2009-08-28,US,208,PHX,ABQ,5.0,-9.0
2009-08-11,US,871,BWI,CLT,-15.0,-9.0
2009-07-05,MQ,4369,SDF,MIA,-20.0,-9.0
2009-07-01,EV,5194,ATL,ABE,-5.0,-9.0
2009-09-02,XE,2370,MSP,CLE,6.0,-9.0
2009-02-23,AA,1762,SNA,DFW,-23.0,-9.0
2009-08-18,MQ,4594,BNA,DCA,-9.0,-9.0
2009-03-15,MQ,4357,ORD,CLE,-2.0,-9.0
2009-08-06,US,2124,LGA,BOS,-25.0,-9.0
2009-07-09,OO,6686,DEN,BIS,-13.0,-9.0
2009-06-24,US,103,PDX,LAS,-12.0,-9.0
2009-04-03,OO,6402,EUG,SFO,-18.0,-9.0
2009-08-24,9E,4011,CMH,MEM,-29.0,-9.0
2009-04-28,F9,683,DEN,SAT,-7.0,-9.0
2009-03-23,AS,99,SNA,SEA,-2.0,-9.0
2009-09-30,OO,5815,MWH,SEA,-21.0,-9.0
2009-08-03,MQ,4676,DCA,JFK,16.0,-9.0
2009-01-11,DL,1171,RDU,ATL,-12.0,-9.0
2009-06-09,UA,494,DSM,ORD,-1.0,-9.0
2009-12-30,US,753,PHL,BOS,-22.0,-9.0
2009-09-15,9E,3690,CID,MSP,-13.0,-9.0
2009-11-26,AA,2347,ORD,DFW,-41.0,-9.0
2009-12-28,NW,2386,ANC,MSP,-31.0,-9.0
2009-09-07,FL,369,LGA,ATL,-9.0,-9.0
2009-03-02,UA,177,DEN,SLC,-25.0,-9.0
2009-02-08,AA,1174,SJC,ORD,2.0,-9.0
2009-09-28,UA,949,ORD,PDX,-9.0,-9.0
2009-06-07,YV,7107,DEN,CPR,-13.0,-9.0
2009-08-24,NW,1118,MSY,DTW,13.0,-9.0
2009-06-22,US,1189,DCA,MCO,0.0,-9.0
2009-05-05,AA,1262,SNA,ORD,-29.0,-9.0
2009-01-13,B6,26,JFK,BUF,-19.0,-9.0
2009-09-13,OO,5981,ORD,FAR,-20.0,-9.0
2009-06-24,CO,614,DFW,IAH,-26.0,-9.0
2009-11-20,XE,2482,IAH,GPT,-10.0,-9.0
2009-11-09,UA,952,PHX,IAD,-32.0,-9.0
2009-04-02,DL,1803,RDU,ATL,14.0,-9.0
2009-09-12,AA,1468,DFW,MEM,-18.0,-9.0
2009-11-11,9E,4212,DSM,MSP,-16.0,-9.0
2009-01-22,EV,5665,PWM,ATL,-37.0,-9.0
2009-11-19,OO,6010,SMF,SFO,-17.0,-9.0
2009-09-19,XE,2959,MOB,IAH,-5.0,-9.0
2009-09-25,US,1466,ATL,PHL,-6.0,-9.0
2009-04-21,F9,657,DEN,SFO,-22.0,-9.0
2009-09-06,AA,813,AUS,LAX,-22.0,-9.0
2009-04-29,OO,5980,ORD,CID,-15.0,-9.0
2009-09-06,AA,1013,DFW,MSY,-13.0,-9.0
2009-04-13,NW,428,DTW,MCO,-5.0,-9.0
2009-11-10,B6,112,JFK,BUF,-24.0,-9.0
2009-09-11,US,29,ORD,PHX,-26.0,-9.0
2009-05-12,MQ,4025,LSE,ORD,-13.0,-9.0
2009-12-04,NW,2192,JFK,MSP,-56.0,-9.0
2009-04-24,NW,1486,ABQ,MSP,-14.0,-9.0
2009-04-02,AA,1935,MCO,MIA,-19.0,-9.0
2009-05-12,EV,5449,SYR,ATL,-9.0,-9.0
2009-05-26,MQ,3948,BMI,ORD,35.0,-9.0
2009-09-13,UA,860,IAD,BOS,-12.0,-9.0
2009-03-28,MQ,3096,SAN,LAX,-16.0,-9.0
2009-07-17,MQ,3179,SJC,SAN,-15.0,-9.0
2009-03-21,CO,321,CLE,MIA,-22.0,-9.0
2009-09-06,AS,161,ADK,ANC,-9.0,-9.0
2009-07-14,MQ,4198,GRB,ORD,-19.0,-9.0
2009-05-19,HA,363,ITO,HNL,-10.0,-9.0
2009-01-14,YV,2807,TUS,PHX,-4.0,-9.0
2009-07-18,XE,5675,TYS,ORD,-26.0,-9.0
2009-08-19,AS,156,FAI,ANC,-4.0,-8.0
2009-06-03,EV,5010,MGM,ATL,4.0,-8.0
2009-09-01,US,1836,PHL,PVD,-10.0,-8.0
2009-09-14,FL,416,ATL,BWI,-16.0,-8.0
2009-09-21,DL,428,SJU,ATL,1.0,-8.0
2009-02-09,HA,127,OGG,HNL,-5.0,-8.0
2009-06-08,AS,149,ANC,FAI,-21.0,-8.0
2009-01-31,FL,83,IAD,ATL,-27.0,-8.0
2009-08-03,HA,181,ITO,HNL,-5.0,-8.0
2009-07-21,B6,41,SYR,JFK,-6.0,-8.0
2009-03-12,US,1437,RSW,CLT,-17.0,-8.0
2009-02-07,NW,1265,STL,MSP,-14.0,-8.0
2009-03-16,US,51,LAX,LAS,-21.0,-8.0
2009-07-04,NW,470,TPA,LGA,-12.0,-8.0
2009-01-30,B6,55,BTV,JFK,25.0,-8.0
2009-06-12,AA,662,LAX,STL,-6.0,-8.0
2009-05-19,EV,5410,ATL,PHF,4.0,-8.0
2009-06-03,B6,39,ROC,JFK,-16.0,-8.0
2009-03-31,HA,102,HNL,ITO,-12.0,-8.0
2009-09-30,OO,6397,LAX,SBP,-10.0,-8.0
2009-09-30,UA,678,ORD,LGA,-20.0,-8.0
2009-03-08,NW,531,LGA,DTW,-10.0,-8.0
2009-11-16,AA,2224,OMA,DFW,-16.0,-8.0
