FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance
2018-08-11,OO,COS,ORD,10.0,-10.0,False,911.0

2018-06-17,F9,LAS,MSN,0.0,-10.0,False,1454.0

2018-08-05,B6,BDL,DCA,-21.0,-10.0,False,313.0

2018-02-10,UA,LAS,SFO,-27.0,-10.0,False,414.0

2018-11-20,ZW,LIT,ORD,-9.0,-10.0,False,552.0

2018-07-08,UA,IAH,CLE,-19.0,-10.0,False,1091.0

2018-10-01,OH,CLT,AGS,-26.0,-10.0,False,140.0

2018-08-24,HA,KOA,HNL,-11.0,-10.0,False,163.0

2018-06-02,EV,MOB,IAH,-28.0,-10.0,False,427.0

2018-12-02,G4,PIE,FNT,-22.0,-10.0,False,1040.0

2018-10-21,UA,SRQ,ORD,-14.0,-10.0,False,1050.0

2018-07-03,EV,JAX,IAH,35.0,-10.0,False,817.0

2018-10-13,NK,CLE,LAS,-24.0,-10.0,False,1824.0

2018-10-02,B6,MCO,ATL,-10.0,-10.0,False,404.0

2018-08-07,F9,ORD,JAX,-9.0,-10.0,False,864.0

2018-06-25,G4,PIE,RIC,-16.0,-10.0,False,731.0

2018-06-02,EV,LBB,IAH,-21.0,-10.0,False,458.0

2018-07-21,AS,SEA,PDX,10.0,-10.0,False,129.0

2018-08-01,G7,BGR,ORD,-11.0,-10.0,False,978.0

2018-03-01,AS,SEA,LAS,-12.0,-10.0,False,867.0

2018-03-01,QX,RNO,SEA,-25.0,-10.0,False,564.0

2018-01-06,G4,PGD,PIT,-20.0,-10.0,False,941.0

2018-06-03,OO,PSP,SFO,-27.0,-10.0,False,421.0

2018-07-01,AX,DEN,DAY,-8.0,-10.0,False,1085.0

2018-10-08,AS,PDX,SFO,-23.0,-10.0,False,550.0

2018-07-10,G7,STL,ORD,-28.0,-10.0,False,258.0

2018-12-01,MQ,MIA,CMH,-27.0,-10.0,False,990.0

2018-02-11,UA,PDX,DEN,-20.0,-10.0,False,991.0

2018-01-24,OO,DEN,SLC,-14.0,-10.0,False,391.0

2018-12-01,C5,EWR,PWM,-26.0,-10.0,False,284.0

2018-08-14,YX,PHL,MEM,-22.0,-10.0,False,875.0

2018-11-07,YX,PIT,MIA,-22.0,-10.0,False,1013.0

2018-07-05,B6,BUF,BOS,-14.0,-10.0,False,395.0

2018-08-29,YX,HSV,DCA,-6.0,-10.0,False,613.0

2018-08-27,EV,TYS,IAH,6.0,-10.0,False,771.0

2018-02-25,HA,HNL,KOA,-11.0,-10.0,False,163.0

2018-02-03,OO,LAX,MRY,-22.0,-10.0,False,266.0

2018-08-13,EV,MLU,IAH,-14.0,-10.0,False,262.0

2018-06-05,G7,GRR,DEN,-32.0,-10.0,False,1015.0

2018-02-09,G4,SCK,LAS,-11.0,-10.0,False,359.0

2018-08-19,EV,IAH,TYS,-16.0,-10.0,False,771.0

2018-12-12,B6,MCO,BOS,-14.0,-10.0,False,1121.0

2018-10-12,OO,SFO,SBA,2.0,-10.0,False,262.0

